content,cleaned_content,reviewId,userName,userImage,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion,app_name
Good experience so far,good experience so far,840f7116-8f90-456e-a418-afba3a1b2ca8,Sule Abdulkadir,https://play-lh.googleusercontent.com/a/ACg8ocL7ca65CR6gM9OtC8YffRS_x4vCreDBvF7kspliT9xa0vAlaQ=mo,4,0,2.00413,26/02/2026 13:19,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 13:35,2.00413,kuda
fast nd reliable I love ur service tank u,fast nd reliable i love ur service tank u,ab21a744-44ab-4f18-aef4-1cb01d15f867,Stella Happiness,https://play-lh.googleusercontent.com/a/ACg8ocLWC747_GsfeaMItc7vk-icRM1sccP6QTeK-A9zCf13SI29hQ=mo,5,0,2.0041,26/02/2026 13:00,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 13:15,2.0041,kuda
good and simple app,good and simple app,7bb60963-d975-45d0-8b45-73a318882d51,James Benedict,https://play-lh.googleusercontent.com/a-/ALV-UjUsttNH6IpD-Lko_Ton0HbiEF7LZo4SswtvmJVF1Prdp7L3xHH3,4,0,2.00413,26/02/2026 12:00,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 12:15,2.00413,kuda
I'm highly impressed with the kuda customer care .,i'm highly impressed with the kuda customer care .,6e654c0e-f6e0-448c-9659-2daf9f3b7193,Kamilu Olaitan,https://play-lh.googleusercontent.com/a/ACg8ocKKtKonRbpOj_sws7RFrlDRnZ-p4Vhd0AY2g6POdDDwnncLyA=mo,5,0,,26/02/2026 11:49,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 11:55,,kuda
every thing is so felixbile and easy,every thing is so felixbile and easy,d8b5ec71-4ef3-47be-a01e-37c7f24b5c63,Uwadieuwgu Rosemary,https://play-lh.googleusercontent.com/a/ACg8ocKCdKHXbLbdA06gP-i8IwNv47Ad6QVOZbI5cEOAuxQ6HfQ-8w=mo,5,0,,26/02/2026 11:29,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 11:35,,kuda
Satisfactory,satisfactory,83b50f00-9170-45b5-85b3-984a07086f34,olaribigbe wasiu,https://play-lh.googleusercontent.com/a-/ALV-UjXn4sW7tPTstY2BTdltQyl2oXRggD9PV6_XifPufQSwupNFFKOQ,4,0,2.00412,26/02/2026 11:27,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 11:29,2.00412,kuda
smooth transaction and secured app,smooth transaction and secured app,b02a234c-9a21-4a7b-a2c4-30a5ed6c67eb,Philip Emmanuel,https://play-lh.googleusercontent.com/a-/ALV-UjXXiVJcex5I2Hw93ws6WLgNJAHtsNtzrHUepJp7kmswYQUKpvis,5,0,2.00413,26/02/2026 11:07,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 11:15,2.00413,kuda
it was good,it was good,5e129a0f-d637-4603-a8f8-34da8f8b5546,Mariam Ayoka,https://play-lh.googleusercontent.com/a/ACg8ocIEybqrgKy9w0dweDpkDNKGoBVlYfAbs1l9SPley--jiQhSog=mo,5,0,2.00412,26/02/2026 10:55,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 11:15,2.00412,kuda
poor network this days,poor network this days,079334e8-5324-4eb1-8a23-d761162aec12,Fredrick burkhart,https://play-lh.googleusercontent.com/a/ACg8ocKwLUdfkxpLmmEoMA0OIBgsvhPu73WJsZ4CUspCFIxFWGxx4w=mo,1,0,2.0041,26/02/2026 8:37,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 8:55,2.0041,kuda
very sharp,very sharp,74fede34-9823-4b9c-a40a-7ce7afbe463c,Ephraim Michael,https://play-lh.googleusercontent.com/a-/ALV-UjVEGyb9YNChE1cyZ9x-WCKnnMMDCar_asSshkwEutE-zR4_w7k,5,0,2.00413,26/02/2026 8:21,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 8:35,2.00413,kuda
I love you kuda,i love you kuda,630590ba-2d2b-4151-890e-2d08258619d2,Vincent Innocent,https://play-lh.googleusercontent.com/a/ACg8ocIEq8TBMOZcIQeS6avabJ7lSMe9cXZsyG_mEvX8oG501FE3-Q=mo,5,0,2.00413,26/02/2026 7:55,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 8:15,2.00413,kuda
I like kuda is great 👍,i like kuda is great,8ae5c5c3-3d23-4485-aeb1-6f1edf6d0313,Isaac Promise,https://play-lh.googleusercontent.com/a/ACg8ocKKxFbI9UTL7uYwTymWQWvV2cqItbMbpy-dJPhpvyT1bI1Hdg=mo,5,0,2.00412,26/02/2026 6:56,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 7:15,2.00412,kuda
kuda is good,kuda is good,3592bcae-433c-41fa-a71d-608f126b4511,Michael Eric,https://play-lh.googleusercontent.com/a/ACg8ocLA6JlC3KFLR7f7j7BQD4OvfCA9T1sUSY_HpW8EP-o59Iny7Q=mo,5,0,,26/02/2026 6:39,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 6:55,,kuda
nice app,nice app,ff23353e-6e6f-4aa7-bc7f-381cd196b709,James Jacobson,https://play-lh.googleusercontent.com/a/ACg8ocKSpHOm99VsOc-FrRGpruWNchG_TsNZ8LlKMWc-5ksEO7TkKQ=mo,5,0,,26/02/2026 2:22,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 2:35,,kuda
Your card doesn't work,your card doesn't work,420f5d1d-c339-40e5-b2d1-f7f80cc14b2c,George Adekunle,https://play-lh.googleusercontent.com/a/ACg8ocKC1cU_IDQXyQJjsXeJQuIGKrjoe6uFMQ4uZiqTAc4Hn7XC=mo,1,0,2.00413,26/02/2026 2:12,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 2:15,2.00413,kuda
very reliable,very reliable,a91cb08b-78df-499b-9b16-7687d8014c5f,A Y SPECIAL,https://play-lh.googleusercontent.com/a/ACg8ocIYUUDZNCw-3pA7Kg5ZxYHBLY08oSuxzuDkJkLbVVYFMCjspQ=mo,5,0,2.00412,26/02/2026 0:37,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 0:55,2.00412,kuda
great app with full experience Thank for providing adequate service to us,great app with full experience thank for providing adequate service to us,69b6f696-64cf-4c93-9fe4-b28dcafc0809,Abdullahi YusufDawasa,https://play-lh.googleusercontent.com/a/ACg8ocLw_g-2R-4xsCY_ZlBGTQon4tS10y-pXNL__UBKr4w__HKbww=mo,5,0,2.00412,26/02/2026 0:32,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",26/02/2026 0:35,2.00412,kuda
poor services,poor services,d5cf99cf-263e-4928-85dd-7958a25896f7,sadiq milez,https://play-lh.googleusercontent.com/a-/ALV-UjWY0xgRVcxa7b6Qhn2Ok6ND8j2MVTtCsTNXBKX2Rsf48hyNDtPf,1,0,2.00383,25/02/2026 23:50,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 23:55,2.00383,kuda
am trying to register but is showing me referral code what does that means,am trying to register but is showing me referral code what does that means,56442349-e461-4469-ba91-1ab089db21ff,NABILA DAHIRU ABAKA,https://play-lh.googleusercontent.com/a/ACg8ocJjhJYNULQzptKX9c2zJpWa3DGOIax6PHQg-s6mn7lw6AFNEA=mo,1,0,2.00377,25/02/2026 23:13,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 23:15,2.00377,kuda
very nice,very nice,0bca311e-ae23-43f3-876a-ce05fb0f6799,Safia Yusufu,https://play-lh.googleusercontent.com/a/ACg8ocKCAMJKHEVb3lRWgXM9Q5p37T8RDsrmNPkXzE30Mg5nLSABtQ=mo,5,0,2.0041,25/02/2026 22:23,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 22:35,2.0041,kuda
it's refusing to update my nin,it's refusing to update my nin,4388969a-a03f-4cef-93df-d3eb5c5e394e,Einstein Nathaniel,https://play-lh.googleusercontent.com/a-/ALV-UjWRrdKqlU8R0L1aYBs2QI8lbJxoEzkRsRPQKq8TifEnJpbfvo0,3,0,2.00413,25/02/2026 21:54,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 21:55,2.00413,kuda
"Been unable to login after the beta update. I left the beta program, uninstalled and reinstalled the stable version, and still no luck. The website is working though.","been unable to login after the beta update. i left the beta program, uninstalled and reinstalled the stable version, and still no luck. the website is working though.",7cf06dbe-606e-49e5-bc21-ea1d53660ec1,Dee O,https://play-lh.googleusercontent.com/a/ACg8ocLBzZwzo_UDvVV5ZwjLIcojFqCVXBxcFftkvWDtXau6Tl5RHA=mo,1,3,2.00413,25/02/2026 21:38,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 21:55,2.00413,kuda
kuda is the best of all time fast in transaction,kuda is the best of all time fast in transaction,f828c7ed-ac59-4a04-88c6-c3cb6f06fcd6,Silent Heartbeat,https://play-lh.googleusercontent.com/a/ACg8ocLZZQMVOQMwKdmzh6bpjRLOOOkgtGNjU4yT_dmmpsjn72ZSLA=mo,1,0,,25/02/2026 21:37,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 21:55,,kuda
"when I want to log in it will just be rolling and not open ,it giving me problems, some time it will said ,they have issue for now I should try again often and often,.","when i want to log in it will just be rolling and not open ,it giving me problems, some time it will said ,they have issue for now i should try again often and often,.",184ff6f3-f9d8-4a07-a36e-26e237d65678,Agboluaje Damola,https://play-lh.googleusercontent.com/a/ACg8ocJ_p405ySG45_V9KtqTnJXeuGvH4Uf69TujHiUJ6hdFCqQQjQ=mo,3,0,,25/02/2026 20:50,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 20:55,,kuda
it's a very good bank app but it has glitches sometimes,it's a very good bank app but it has glitches sometimes,a6ba0a42-df0c-4802-9854-0a23ae9fa6b8,Chioma Precious,https://play-lh.googleusercontent.com/a/ACg8ocL3Aj-h9J2081tL9PKXCOE_DAZ_7_EBTcmK-svFXnmdTzWrMw=mo,4,0,2.0041,25/02/2026 20:38,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 20:55,2.0041,kuda
good app it work well,good app it work well,b6614edb-aabd-4b0c-b2d9-15e0b88a2b77,Boluwatife Pelumi,https://play-lh.googleusercontent.com/a/ACg8ocKS_kUw_DM4f4i_QcKY7iTVt1kfhIbEVd784tgHbIJDBLVNZg=mo,5,0,2.00412,25/02/2026 20:24,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 20:35,2.00412,kuda
"nice app, and so helpful","nice app, and so helpful",9feee0b5-1bff-4639-b747-dc88a3e69fd0,Sarah Ifeoma,https://play-lh.googleusercontent.com/a/ACg8ocKgftJBhVbfofL8XRbJBLDS9GCxbT19TLXM69BJFufj8TP9wQ=mo,5,0,2.00412,25/02/2026 20:08,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 20:15,2.00412,kuda
"excellent online banking, keep it up","excellent online banking, keep it up",b5cd3608-9df7-4b1e-826f-805597fa91d1,Bamidele Sokunbi,https://play-lh.googleusercontent.com/a/ACg8ocKFIuCS3zRNKwrhgMBrog0JaJhxTHKWhOP9iC7c9v7EsOG7X5U=mo,3,0,2.00413,25/02/2026 19:46,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 19:55,2.00413,kuda
inspirational,inspirational,8d202bd3-01c1-4a2f-8461-4807a1c78a1d,Iam Aboy,https://play-lh.googleusercontent.com/a/ACg8ocI-b_PasnH7icu_dxUldyCO02viNpLKa9caV1FlSpK4Z3bwsQ=mo,5,0,2.00413,25/02/2026 19:22,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 7:55,2.00413,kuda
it's very reliable,it's very reliable,d8108109-b587-424f-962d-7148cdbb9a3b,Richie Funds,https://play-lh.googleusercontent.com/a/ACg8ocIcDVSU4P21pz3GQdYRDAGpp8Va7cnjqaPtbcDmG3dNgp9Gyw=mo,5,0,2.00413,25/02/2026 19:10,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 19:15,2.00413,kuda
I love kuda,i love kuda,3d4c9926-5c8f-49de-a95e-94791ce873bf,Wisdom Victor,https://play-lh.googleusercontent.com/a/ACg8ocLnECeXiwf8A36lKatXYnyHFGvC1ANcaHEdZbHmKa2Bh_TeBQ=mo,5,0,2.00412,25/02/2026 19:04,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 19:15,2.00412,kuda
fast and reliable 💪,fast and reliable,d3e23758-47a7-4bcd-bdb9-73ef0dab129c,Marshal Odah,https://play-lh.googleusercontent.com/a/ACg8ocJwA2QNV4Ses8mmP68dSVMAEDQ1jCd7k-n1CF_UcPLkDGMIvQ=mo,4,0,2.00412,25/02/2026 18:48,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 18:55,2.00412,kuda
am happy with this App,am happy with this app,e1d68671-149b-4e34-a5d0-d7ee79fe2430,Mercy Oke,https://play-lh.googleusercontent.com/a/ACg8ocJVaYGIpknlNMHEfM8KZ6Zne97UtjKZKlLiGRU0JTzrvC4Txg=mo,5,0,2.00413,25/02/2026 18:41,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 18:55,2.00413,kuda
kuda is my number one trusted banking for everybody and every business owner if no be kuda he no fit be like kuda 🤗😘,kuda is my number one trusted banking for everybody and every business owner if no be kuda he no fit be like kuda,cb11552b-6d4c-4efa-8ce5-eda77a230a08,Danny Brown,https://play-lh.googleusercontent.com/a-/ALV-UjXQmahCCW7TJn6JQ9LHhp84ApFxpBVkkwBUFZSXp29PtCP0YBhV,5,0,2.00413,25/02/2026 18:17,"Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
We’re here to help!💜",25/02/2026 18:35,2.00413,kuda
