"annotation_id","annotator","appVersion","app_name","at","cleaned_content","content","created_at","id","lead_time","repliedAt","replyContent","reviewCreatedVersion","reviewId","score","sentiment","thumbsUpCount","updated_at","userImage","userName"
1579,"1","2.00413","kuda","26/02/2026 19:53","you guys keep logging me out i have to reset password everytime","you guys keep logging me out I have to reset password everytime","2026-03-08T14:45:48.431848Z",681,8.816,"26/02/2026 19:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","7de6278b-bd13-49ca-9e7b-4a1da17bd284",1,"Negative",0,"2026-03-08T14:45:48.431870Z","https://play-lh.googleusercontent.com/a/ACg8ocIfdQpFXWbp1uzlqgEKiegqCCCx9odq6io7x5JnoJ0hSAH48Q=mo","mercy initie"
1580,"1","2.00412","kuda","26/02/2026 19:30","so fast and easy i really love the way the app works i gave you 100 but want the app to keep working the way it's is never try to change the way the app is working i really love the app thanks for making transaction more easier it really helps i appreciate the effort that have been putting on in the app","so fast and easy I really love the way the app works I gave you 100% but want the app to keep working the way it's is never try to change the way the app is working I really love the app thanks for making transaction more easier it really helps I appreciate the effort that have been putting on in the app","2026-03-08T14:46:11.793715Z",682,22.045,"26/02/2026 19:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","34df04cf-591e-492f-96d5-6625248c58f0",5,"Positive",0,"2026-03-08T14:46:11.793735Z","https://play-lh.googleusercontent.com/a-/ALV-UjWpWdCBMpIMxI68XbAC2wXB6KuGv4EKoKESKem1FUZN1yHs6BIa","Okpaga Samuel"
1581,"1","","kuda","26/02/2026 19:20","has never disappointed","has never disappointed","2026-03-08T14:46:17.875163Z",683,4.746,"26/02/2026 19:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","8df526ce-5486-4b3d-ad85-0742b6cab6b5",5,"Positive",0,"2026-03-08T14:46:17.875188Z","https://play-lh.googleusercontent.com/a/ACg8ocIpp_RJd7jnRl7c7YEC53nqewbWoGOV2U1-csNpxcJXOUZvEg=mo","Ugwudu Tochukwu"
1582,"1","2.00413","kuda","26/02/2026 18:55","kuda is worth using, because they value customer relationship, and they are very sincere in the way they deal with customers. 1. there's no unnecessary debits 2. they have tight security 3. and lastly, they give the best service","Kuda is worth using, Because they value customer relationship, and they are very sincere in the way they deal with customers. 1. There's no unnecessary debits 2. They have tight security 3. And lastly, they give the best service","2026-03-08T14:46:36.772713Z",684,17.608,"26/02/2026 19:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","6d40d0bb-8977-4da7-bfcd-74127edd3d33",5,"Positive",0,"2026-03-08T14:46:36.772739Z","https://play-lh.googleusercontent.com/a-/ALV-UjW4lyFzYRxeOJKJMtusaQWX0Oc-f1uO7AOe78VwYq8c8B71SV8","Seyifunmi Miracle"
1583,"1","2.00413","kuda","26/02/2026 18:29","kuda bank is incredible app to bank with","Kuda Bank is incredible app to bank with","2026-03-08T14:47:54.975825Z",685,76.959,"26/02/2026 18:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","910cf0ad-6b9f-406d-b590-f6b6cb9ade84",5,"Positive",0,"2026-03-08T14:47:54.975863Z","https://play-lh.googleusercontent.com/a/ACg8ocKCN7RZl_L9VHSwdxUplXC7aQD9v14tiC2cd7RyH4fJOXoNSw=mo","chinonso ikpafere"
1584,"1","2.00413","kuda","26/02/2026 18:13","wonderful","wonderful","2026-03-08T14:48:00.313781Z",686,4.05,"26/02/2026 18:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","973b37bb-407c-4087-8d94-ea392a258cd9",5,"Positive",0,"2026-03-08T14:48:00.313812Z","https://play-lh.googleusercontent.com/a-/ALV-UjWksOGrtA1X0v9j9k9GQqBask1-_sBTqLBdiRsIJ9xRxa4km3V6","Queen Kingsley"
1585,"1","2.00412","kuda","26/02/2026 17:40","i rate this app a1, don't know about anyone else","I RATE THIS APP A1, DON'T KNOW ABOUT ANYONE ELSE!!!!!!","2026-03-08T14:48:25.003880Z",687,23.281,"26/02/2026 17:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","4d4d811b-1bc8-4e8d-9e78-bd2cd0389eb2",5,"Positive",0,"2026-03-08T14:48:25.003899Z","https://play-lh.googleusercontent.com/a-/ALV-UjVSf41let8ksBcqEsTkAsx5zJXQpfVNUGjIVZcICmn7z0n0Cng","Chidera Albert"
1586,"1","2.00413","kuda","26/02/2026 16:27","durable and reliable","durable and reliable","2026-03-08T14:48:31.989279Z",688,5.184,"26/02/2026 16:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","6be0dfd9-ceaf-4a93-a3a2-787fd9aed728",5,"Positive",0,"2026-03-08T14:48:31.989310Z","https://play-lh.googleusercontent.com/a-/ALV-UjUodT_aLT3imgn8OGzmrWPsy-NB99SiZr3c0UZ5pNSoZnJmIW7mew","Mr Teacher Dikume"
1587,"1","","kuda","26/02/2026 16:23","extraordinary","extraordinary","2026-03-08T14:48:37.540688Z",689,4.233,"26/02/2026 16:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","7548714f-a10f-4c6f-b6fb-c2c1d2fb5610",5,"Positive",0,"2026-03-08T14:48:37.540721Z","https://play-lh.googleusercontent.com/a-/ALV-UjVtisdM_wQ7_wZ9B2Rt44qIzb3ona2tpO9PUUD_Zpe6HlCPJ3k","Emmanuel Isaac"
1588,"1","2.00413","kuda","26/02/2026 15:40","this app is good","this app is good","2026-03-08T14:48:44.355894Z",690,4.971,"26/02/2026 15:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","bcd43601-0c4c-4c0a-89cb-7b438e2ae107",5,"Positive",0,"2026-03-08T14:48:44.355924Z","https://play-lh.googleusercontent.com/a/ACg8ocIOpIbZwsfBsSv7T-_xAYknhtNC4FePK-sY8XO8yqehOL41tQ=mo","Knotty Miracle"
1589,"1","","kuda","26/02/2026 15:30","good services, good customer support","good services, good customer support","2026-03-08T14:48:52.343255Z",691,6.047,"26/02/2026 15:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","db6259ff-782f-4970-a8b4-89a03dd22095",5,"Positive",0,"2026-03-08T14:48:52.343287Z","https://play-lh.googleusercontent.com/a/ACg8ocIpm05mHBRuOrlqMDB4EA4VMY1aPjzsvTLW1ClY-0WA5LtJuQ=mo","garba garba"
1590,"1","2.00413","kuda","26/02/2026 15:16","very fast and reliable","very fast and reliable","2026-03-08T14:48:58.160666Z",692,4.379,"26/02/2026 15:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","56052c32-871d-4b39-a157-62d723748a1a",5,"Positive",0,"2026-03-08T14:48:58.160692Z","https://play-lh.googleusercontent.com/a/ACg8ocLnnbnBi4g8mNjUIIVYoppG7WO3Ba7CYJEaClyHwXy3xDU4ew=mo","Prince William"
1591,"1","2.0041","kuda","26/02/2026 14:43","top notch","Top-notch!","2026-03-08T14:49:03.493526Z",693,3.851,"26/02/2026 14:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.0041","b559fcfe-1f81-4f20-97d6-13ed2b553821",5,"Positive",0,"2026-03-08T14:49:03.493551Z","https://play-lh.googleusercontent.com/a/ACg8ocLKWI6fZgrwE5lacHYMsdy9wTEs5_BWDHFHZEJMG_v4xwvlew=mo","Olushola Sholanke"
1592,"1","2.00412","kuda","26/02/2026 13:37","amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app thank you kuda","Amazing experience and a great banking app so good at their job and very respectful and swift with refunds lovely app Thank you Kudaâ­âœ¨","2026-03-08T14:49:14.109082Z",694,9.035,"26/02/2026 13:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","ba9948b9-447a-4c5c-8483-8e0844b27f8e",5,"Positive",0,"2026-03-08T14:49:14.109102Z","https://play-lh.googleusercontent.com/a/ACg8ocLgu4jJi3ZCAzAoQnFTBpN2fGqIOOrV2KN0_3HdjXjZXrmR-A=mo","Back up mail"
1593,"1","2.00412","kuda","26/02/2026 13:33","the app is excellents so fast and reliable kudos to kuda","the app is excellents so fast and reliable kudos to kudaðŸ‘ðŸ¥°ðŸ‘","2026-03-08T14:49:22.398601Z",695,6.658,"26/02/2026 13:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","ea371253-ce78-46ee-87a0-6578f68ad5c8",5,"Positive",0,"2026-03-08T14:49:22.398627Z","https://play-lh.googleusercontent.com/a-/ALV-UjWpd2ZuvK1Ndt_hoQCADMbcfo56g_6QKnoD4rlbCfUJAHTF-tOa","Jamiu Alubarka"
1594,"1","2.00413","kuda","26/02/2026 13:19","good experience so far","Good experience so far","2026-03-08T14:50:30.527112Z",696,66.676,"26/02/2026 13:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","840f7116-8f90-456e-a418-afba3a1b2ca8",4,"Positive",0,"2026-03-08T14:50:30.527140Z","https://play-lh.googleusercontent.com/a/ACg8ocL7ca65CR6gM9OtC8YffRS_x4vCreDBvF7kspliT9xa0vAlaQ=mo","Sule Abdulkadir"
1595,"1","2.0041","kuda","26/02/2026 13:00","fast nd reliable i love ur service tank u","fast nd reliable I love ur service tank u","2026-03-08T14:50:37.747915Z",697,5.845,"26/02/2026 13:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.0041","ab21a744-44ab-4f18-aef4-1cb01d15f867",5,"Positive",0,"2026-03-08T14:50:37.747936Z","https://play-lh.googleusercontent.com/a/ACg8ocLWC747_GsfeaMItc7vk-icRM1sccP6QTeK-A9zCf13SI29hQ=mo","Stella Happiness"
1596,"1","2.00413","kuda","26/02/2026 12:00","good and simple app","good and simple app","2026-03-08T14:50:43.341753Z",698,4.04,"26/02/2026 12:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","7bb60963-d975-45d0-8b45-73a318882d51",4,"Positive",0,"2026-03-08T14:50:43.341789Z","https://play-lh.googleusercontent.com/a-/ALV-UjUsttNH6IpD-Lko_Ton0HbiEF7LZo4SswtvmJVF1Prdp7L3xHH3","James Benedict"
1597,"1","","kuda","26/02/2026 11:49","i'm highly impressed with the kuda customer care .","I'm highly impressed with the kuda customer care .","2026-03-08T14:50:51.028853Z",699,6.149,"26/02/2026 11:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","6e654c0e-f6e0-448c-9659-2daf9f3b7193",5,"Positive",0,"2026-03-08T14:50:51.028885Z","https://play-lh.googleusercontent.com/a/ACg8ocKKtKonRbpOj_sws7RFrlDRnZ-p4Vhd0AY2g6POdDDwnncLyA=mo","Kamilu Olaitan"
1598,"1","","kuda","26/02/2026 11:29","every thing is so felixbile and easy","every thing is so felixbile and easy","2026-03-08T14:50:57.582930Z",700,5.058,"26/02/2026 11:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","d8b5ec71-4ef3-47be-a01e-37c7f24b5c63",5,"Positive",0,"2026-03-08T14:50:57.582949Z","https://play-lh.googleusercontent.com/a/ACg8ocKCdKHXbLbdA06gP-i8IwNv47Ad6QVOZbI5cEOAuxQ6HfQ-8w=mo","Uwadieuwgu Rosemary"
1599,"1","2.00412","kuda","26/02/2026 11:27","satisfactory","Satisfactory","2026-03-08T14:51:02.741739Z",701,3.702,"26/02/2026 11:29","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","83b50f00-9170-45b5-85b3-984a07086f34",4,"Positive",0,"2026-03-08T14:51:02.741762Z","https://play-lh.googleusercontent.com/a-/ALV-UjXn4sW7tPTstY2BTdltQyl2oXRggD9PV6_XifPufQSwupNFFKOQ","olaribigbe wasiu"
1600,"1","2.00413","kuda","26/02/2026 11:07","smooth transaction and secured app","smooth transaction and secured app","2026-03-08T14:51:09.476273Z",702,5.266,"26/02/2026 11:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","b02a234c-9a21-4a7b-a2c4-30a5ed6c67eb",5,"Positive",0,"2026-03-08T14:51:09.476297Z","https://play-lh.googleusercontent.com/a-/ALV-UjXXiVJcex5I2Hw93ws6WLgNJAHtsNtzrHUepJp7kmswYQUKpvis","Philip Emmanuel"
1601,"1","2.00412","kuda","26/02/2026 10:55","it was good","it was good","2026-03-08T14:51:15.593350Z",703,4.346,"26/02/2026 11:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","5e129a0f-d637-4603-a8f8-34da8f8b5546",5,"Positive",0,"2026-03-08T14:51:15.593372Z","https://play-lh.googleusercontent.com/a/ACg8ocIEybqrgKy9w0dweDpkDNKGoBVlYfAbs1l9SPley--jiQhSog=mo","Mariam Ayoka"
1602,"1","2.0041","kuda","26/02/2026 8:37","poor network this days","poor network this days","2026-03-08T14:51:21.895134Z",704,4.478,"26/02/2026 8:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.0041","079334e8-5324-4eb1-8a23-d761162aec12",1,"Negative",0,"2026-03-08T14:51:21.895154Z","https://play-lh.googleusercontent.com/a/ACg8ocKwLUdfkxpLmmEoMA0OIBgsvhPu73WJsZ4CUspCFIxFWGxx4w=mo","Fredrick burkhart"
1603,"1","2.00413","kuda","26/02/2026 8:21","very sharp","very sharp","2026-03-08T14:51:28.670856Z",705,4.854,"26/02/2026 8:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","74fede34-9823-4b9c-a40a-7ce7afbe463c",5,"Positive",0,"2026-03-08T14:51:28.670885Z","https://play-lh.googleusercontent.com/a-/ALV-UjVEGyb9YNChE1cyZ9x-WCKnnMMDCar_asSshkwEutE-zR4_w7k","Ephraim Michael"
1604,"1","2.00413","kuda","26/02/2026 7:55","i love you kuda","I love you kuda","2026-03-08T14:55:47.426560Z",706,257.067,"26/02/2026 8:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","630590ba-2d2b-4151-890e-2d08258619d2",5,"Positive",0,"2026-03-08T14:55:47.426579Z","https://play-lh.googleusercontent.com/a/ACg8ocIEq8TBMOZcIQeS6avabJ7lSMe9cXZsyG_mEvX8oG501FE3-Q=mo","Vincent Innocent"
1605,"1","2.00412","kuda","26/02/2026 6:56","i like kuda is great","I like kuda is great ðŸ‘","2026-03-08T14:56:10.338795Z",707,21.211,"26/02/2026 7:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","8ae5c5c3-3d23-4485-aeb1-6f1edf6d0313",5,"Positive",0,"2026-03-08T14:56:10.338823Z","https://play-lh.googleusercontent.com/a/ACg8ocKKxFbI9UTL7uYwTymWQWvV2cqItbMbpy-dJPhpvyT1bI1Hdg=mo","Isaac Promise"
1606,"1","","kuda","26/02/2026 6:39","kuda is good","kuda is good","2026-03-08T14:56:16.928066Z",708,4.816,"26/02/2026 6:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","3592bcae-433c-41fa-a71d-608f126b4511",5,"Positive",0,"2026-03-08T14:56:16.928086Z","https://play-lh.googleusercontent.com/a/ACg8ocLA6JlC3KFLR7f7j7BQD4OvfCA9T1sUSY_HpW8EP-o59Iny7Q=mo","Michael Eric"
1607,"1","","kuda","26/02/2026 2:22","nice app","nice app","2026-03-08T14:56:22.638451Z",709,3.83,"26/02/2026 2:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","","ff23353e-6e6f-4aa7-bc7f-381cd196b709",5,"Positive",0,"2026-03-08T14:56:22.638483Z","https://play-lh.googleusercontent.com/a/ACg8ocKSpHOm99VsOc-FrRGpruWNchG_TsNZ8LlKMWc-5ksEO7TkKQ=mo","James Jacobson"
1608,"1","2.00413","kuda","26/02/2026 2:12","your card doesn't work","Your card doesn't work","2026-03-08T14:56:29.270445Z",710,4.912,"26/02/2026 2:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","420f5d1d-c339-40e5-b2d1-f7f80cc14b2c",1,"Negative",0,"2026-03-08T14:56:29.270474Z","https://play-lh.googleusercontent.com/a/ACg8ocKC1cU_IDQXyQJjsXeJQuIGKrjoe6uFMQ4uZiqTAc4Hn7XC=mo","George Adekunle"
1609,"1","2.00412","kuda","26/02/2026 0:37","very reliable","very reliable","2026-03-08T14:56:35.971640Z",711,4.724,"26/02/2026 0:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","a91cb08b-78df-499b-9b16-7687d8014c5f",5,"Positive",0,"2026-03-08T14:56:35.971672Z","https://play-lh.googleusercontent.com/a/ACg8ocIYUUDZNCw-3pA7Kg5ZxYHBLY08oSuxzuDkJkLbVVYFMCjspQ=mo","A Y SPECIAL"
1610,"1","2.00412","kuda","26/02/2026 0:32","great app with full experience thank for providing adequate service to us","great app with full experience Thank for providing adequate service to us","2026-03-08T14:56:45.010054Z",712,7.007,"26/02/2026 0:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00412","69b6f696-64cf-4c93-9fe4-b28dcafc0809",5,"Positive",0,"2026-03-08T14:56:45.010082Z","https://play-lh.googleusercontent.com/a/ACg8ocLw_g-2R-4xsCY_ZlBGTQon4tS10y-pXNL__UBKr4w__HKbww=mo","Abdullahi YusufDawasa"
1611,"1","2.00383","kuda","25/02/2026 23:50","poor services","poor services","2026-03-08T14:56:51.329576Z",713,4.943,"25/02/2026 23:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00383","d5cf99cf-263e-4928-85dd-7958a25896f7",1,"Negative",0,"2026-03-08T14:56:51.329596Z","https://play-lh.googleusercontent.com/a-/ALV-UjWY0xgRVcxa7b6Qhn2Ok6ND8j2MVTtCsTNXBKX2Rsf48hyNDtPf","sadiq milez"
1612,"1","2.00377","kuda","25/02/2026 23:13","am trying to register but is showing me referral code what does that means","am trying to register but is showing me referral code what does that means","2026-03-08T14:57:04.133824Z",714,11.297,"25/02/2026 23:15","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00377","56442349-e461-4469-ba91-1ab089db21ff",1,"Neutral",0,"2026-03-08T14:57:04.133853Z","https://play-lh.googleusercontent.com/a/ACg8ocJjhJYNULQzptKX9c2zJpWa3DGOIax6PHQg-s6mn7lw6AFNEA=mo","NABILA DAHIRU ABAKA"
1613,"1","2.0041","kuda","25/02/2026 22:23","very nice","very nice","2026-03-08T14:57:09.593141Z",715,3.972,"25/02/2026 22:35","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.0041","0bca311e-ae23-43f3-876a-ce05fb0f6799",5,"Positive",0,"2026-03-08T14:57:09.593170Z","https://play-lh.googleusercontent.com/a/ACg8ocKCAMJKHEVb3lRWgXM9Q5p37T8RDsrmNPkXzE30Mg5nLSABtQ=mo","Safia Yusufu"
1614,"1","2.00413","kuda","25/02/2026 21:54","it's refusing to update my nin","it's refusing to update my nin","2026-03-08T15:00:45.567599Z",716,214.215,"25/02/2026 21:55","Thanks for rating the Kuda App! You can reach us anytime through the in-app chat or by emailing help@kuda.com.
Weâ€™re here to help!ðŸ’œ","2.00413","4388969a-a03f-4cef-93df-d3eb5c5e394e",3,"Negative",0,"2026-03-08T15:00:45.567626Z","https://play-lh.googleusercontent.com/a-/ALV-UjWRrdKqlU8R0L1aYBs2QI8lbJxoEzkRsRPQKq8TifEnJpbfvo0","Einstein Nathaniel"
